"","study.area","station.season","station","season","utm_x","utm_y","dst.waterbodies","dst_rivers","dst_streams","dst_settlement","dst_roads","roads500m","dst.water","dst.human","rabbit.ts","lynx.ts","rodent.ts","TC500nb","nTC500nb","nV500nb","EVI500nb","TC500b","nTC500b","nV500b","EVI500b","rbbt.ha.nb","rbbt.se.nb","rbbt.ha.b","rbbt.se.b","rdt.ha.nb","rdt.se.nb","rdt.ha.b","rdt.se.b"
"98","GVNP","CT08w","CT08","breeding",-7.78397,37.68823,2.542934199,0.119057309,10.09638853,2.155780981,1.992744919,0,0.119057309,1.992744919,57.1428571428571,0,0,4.08333333333333,78.1666666666667,17.75,25868333.3333333,6.58333333333333,83.6666666666667,9.75,29917500,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"99","GVNP","CT09a","CT09","nonbreeding",-7.76708,37.69017,2.577403817,1.555040827,8.914025779,2.602930631,1.944932889,0,1.555040827,1.944932889,27.2727272727273,0,3.03030303030303,2.33333333333333,91.1666666666667,6.5,29421666.6666667,1.5,89.8333333333333,8.66666666666667,47005000,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"100","GVNP","CT09w","CT09","breeding",-7.76708,37.69017,2.577403817,1.555040827,8.914025779,2.602930631,1.944932889,0,1.555040827,1.944932889,13.7931034482759,0,0,2.33333333333333,91.1666666666667,6.5,29421666.6666667,1.5,89.8333333333333,8.66666666666667,47005000,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"101","GVNP","CT10a","CT10","nonbreeding",-7.73718,37.68557,0.975335667,2.716935512,6.034713194,0.862656948,0.136544671,856.751,0.975335667,0.136544671,206.060606060606,0,18.1818181818182,1.5,85.4166666666667,13.0833333333333,31026666.6666667,2.58333333333333,86.75,10.6666666666667,42447500,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"102","GVNP","CT03a","CT03","nonbreeding",-7.81927,37.69862,0.392892124,1.203684291,9.225067789,1.06124338,0.990281432,0,0.392892124,0.990281432,77.1428571428572,0,0,1.83333333333333,77.4166666666667,20.75,24538333.3333333,4.75,86,9.25,30788333.3333333,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"103","GVNP","CT03w","CT03","breeding",-7.81927,37.69862,0.392892124,1.203684291,9.225067789,1.06124338,0.990281432,0,0.392892124,0.990281432,37.9310344827586,0,0,1.83333333333333,77.4166666666667,20.75,24538333.3333333,4.75,86,9.25,30788333.3333333,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"104","GVNP","CT04a","CT04","nonbreeding",-7.8001,37.69718,1.619762971,0.028958444,9.842010811,1.666081473,1.569782892,0,0.028958444,1.569782892,142.857142857143,0,0,2.08333333333333,86.3333333333333,11.5833333333333,26973333.3333333,5.41666666666667,86.75,7.83333333333333,44899166.6666667,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"105","GVNP","CT04w","CT04","breeding",-7.8001,37.69718,1.619762971,0.028958444,9.842010811,1.666081473,1.569782892,0,0.028958444,1.569782892,171.428571428571,0,14.2857142857143,2.08333333333333,86.3333333333333,11.5833333333333,26973333.3333333,5.41666666666667,86.75,7.83333333333333,44899166.6666667,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"106","GVNP","CT12w","CT12","breeding",-7.77313,37.6797,3.152038513,0.583450798,9.938722339,3.053507749,2.842326283,0,0.583450798,2.842326283,21.4285714285714,0,0,6.07692307692308,76.7692307692308,17.1538461538462,26840000,11.0769230769231,80.5384615384615,8.38461538461539,30823846.1538462,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"107","GVNP","CT14a","CT14","nonbreeding",-7.7298,37.678,2.148107361,1.805380106,5.482542586,1.58165399,0.910623801,0,1.805380106,0.910623801,9.09090909090909,0,0,3.91666666666667,81.8333333333333,14.25,24856666.6666667,6.75,85.75,7.5,35655833.3333333,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"108","GVNP","CT14w","CT14","breeding",-7.7298,37.678,2.148107361,1.805380106,5.482542586,1.58165399,0.910623801,0,1.805380106,0.910623801,39.2857142857143,0,0,3.91666666666667,81.8333333333333,14.25,24856666.6666667,6.75,85.75,7.5,35655833.3333333,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"109","GVNP","CT15a","CT15","nonbreeding",-7.70718,37.67945,0.628839582,1.769201742,3.032384649,4.062426711,0.103817793,874.589,0.628839582,0.103817793,26.6666666666667,0,6.66666666666667,4.23076923076923,75.9230769230769,19.8461538461538,19390000,5.53846153846154,78.1538461538462,16.3076923076923,25552307.6923077,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
"110","GVNP","CT15w","CT15","breeding",-7.70718,37.67945,0.628839582,1.769201742,3.032384649,4.062426711,0.103817793,874.589,0.628839582,0.103817793,71.4285714285714,0,21.4285714285714,4.23076923076923,75.9230769230769,19.8461538461538,19390000,5.53846153846154,78.1538461538462,16.3076923076923,25552307.6923077,48.2726666666667,8.43225900177502,45.6073333333333,8.41933084472964,2.26757369614512,0.711512419854659,1.60064025610244,0.781100031787901
