station,study.area,utm_x,utm_y,field_1,LC2012,LC2011,LC2013,LC2009,LC2010,%LC2012,%LC2011,%LC2009,%LC2013,%LC2010
Ma.24,Montealegre,-4.12382,38.23728,0,8.00000,8.00000,8.00000,8.00000,8.00000,76.00000,65.00000,56.00000,55.00000,65.00000
Ma.32,Montealegre,-4.10427,38.21333,0,9.00000,9.00000,9.00000,9.00000,9.00000,58.00000,58.00000,64.00000,58.00000,64.00000
Ma.42,Montealegre,-4.10877,38.24546,0,8.00000,9.00000,8.00000,8.00000,9.00000,53.00000,46.00000,74.00000,53.00000,59.00000
Ma.44,Montealegre,-4.11829,38.24614,0,7.00000,8.00000,8.00000,9.00000,9.00000,31.00000,59.00000,49.00000,66.00000,49.00000
Ma.45,Montealegre,-4.12456,38.23031,0,8.00000,8.00000,8.00000,8.00000,8.00000,63.00000,62.00000,65.00000,65.00000,62.00000
Ma.46,Montealegre,-4.09319,38.22930,0,9.00000,9.00000,9.00000,9.00000,7.00000,59.00000,59.00000,53.00000,59.00000,53.00000
Ma.48,Montealegre,-4.09887,38.20136,0,8.00000,9.00000,8.00000,9.00000,9.00000,63.00000,46.00000,51.00000,63.00000,46.00000
Ma.C3,Montealegre,-4.09978,38.22123,0,9.00000,9.00000,9.00000,7.00000,8.00000,63.00000,63.00000,42.00000,63.00000,52.00000
Med.01,Medianeria,-3.90803,38.20156,0,8.00000,9.00000,8.00000,9.00000,8.00000,52.00000,59.00000,59.00000,52.00000,52.00000
Mingorramos,Mingorramos,-4.05456,38.22696,0,8.00000,8.00000,9.00000,7.00000,8.00000,68.00000,68.00000,58.00000,62.00000,68.00000
Nv.03,La Navarra,-4.06854,38.18729,0,8.00000,8.00000,8.00000,9.00000,9.00000,47.00000,47.00000,50.00000,28.00000,30.00000
Nv.05,La Navarra,-4.06489,38.19610,0,10.00000,8.00000,10.00000,7.00000,8.00000,46.00000,42.00000,34.00000,51.00000,42.00000
Nv.06,La Navarra,-4.06212,38.20532,0,9.00000,9.00000,9.00000,7.00000,7.00000,57.00000,57.00000,50.00000,57.00000,50.00000
Nv.07,La Navarra,-4.06891,38.20232,0,9.00000,7.00000,9.00000,7.00000,7.00000,45.00000,46.00000,45.00000,45.00000,45.00000
Nv.19,La Navarra,-4.06289,38.21885,0,8.00000,7.00000,9.00000,10.00000,7.00000,30.00000,41.00000,43.00000,37.00000,41.00000
Nv.20,La Navarra,-4.07217,38.21583,0,7.00000,9.00000,9.00000,7.00000,7.00000,33.00000,69.00000,58.00000,38.00000,58.00000
Nv.27,La Navarra,-4.08415,38.20321,0,9.00000,9.00000,9.00000,9.00000,7.00000,55.00000,55.00000,56.00000,55.00000,31.00000
Nv.33,La Navarra,-4.06757,38.21939,0,7.00000,7.00000,9.00000,7.00000,7.00000,81.00000,81.00000,48.00000,37.00000,81.00000
Nv.34,La Navarra,-4.06549,38.21734,0,7.00000,7.00000,9.00000,7.00000,7.00000,81.00000,81.00000,48.00000,37.00000,81.00000
Nv.36,La Navarra,-4.05760,38.22245,0,10.00000,7.00000,7.00000,7.00000,7.00000,33.00000,39.00000,51.00000,39.00000,67.00000
Nv.37,La Navarra,-4.05956,38.21601,0,9.00000,9.00000,9.00000,9.00000,7.00000,66.00000,66.00000,48.00000,66.00000,51.00000
Nv.43,La Navarra,-4.07230,38.20453,0,9.00000,9.00000,9.00000,8.00000,7.00000,59.00000,59.00000,48.00000,59.00000,50.00000
Nv.45,La Navarra,-4.09549,38.20522,0,9.00000,7.00000,9.00000,7.00000,8.00000,49.00000,54.00000,54.00000,49.00000,27.00000
Nv.50,La Navarra,-4.06415,38.18774,0,9.00000,7.00000,9.00000,7.00000,7.00000,45.00000,56.00000,56.00000,45.00000,56.00000
Nv.51,La Navarra,-4.08641,38.19026,0,8.00000,8.00000,8.00000,9.00000,9.00000,49.00000,34.00000,52.00000,49.00000,52.00000
Nv.54,La Navarra,-4.08750,38.19824,0,9.00000,9.00000,8.00000,7.00000,7.00000,47.00000,52.00000,56.00000,51.00000,56.00000
Nv.55,La Navarra,-4.09324,38.18711,0,8.00000,9.00000,8.00000,9.00000,8.00000,45.00000,43.00000,42.00000,59.00000,49.00000
Nv.58,La Navarra,-4.09424,38.18378,0,8.00000,9.00000,8.00000,9.00000,8.00000,45.00000,43.00000,42.00000,59.00000,49.00000
Nv.59,La Navarra,-4.06758,38.22482,0,7.00000,7.00000,7.00000,7.00000,7.00000,31.00000,49.00000,48.00000,35.00000,61.00000
Nv.J17,La Navarra,-4.06325,38.21344,0,9.00000,9.00000,9.00000,9.00000,7.00000,66.00000,66.00000,48.00000,66.00000,51.00000
Nv.J19,La Navarra,-4.06404,38.22663,0,8.00000,8.00000,9.00000,9.00000,8.00000,73.00000,73.00000,50.00000,62.00000,73.00000
Nv.J4,La Navarra,-4.07090,38.20985,0,9.00000,9.00000,9.00000,9.00000,8.00000,55.00000,55.00000,41.00000,55.00000,49.00000
Pb.07,Puerto Bajo,-4.00774,38.24919,0,8.00000,8.00000,8.00000,9.00000,9.00000,46.00000,68.00000,68.00000,65.00000,65.00000
